prompt,label
Je souhaite extraire les figures en quelques mots,Image
Merci de synthétiser le contenu avec précision,Résumé
Est-ce que tu peux donner la date du document sans oublier les points clés,Question
J'aimerais bien résumer ce document de façon synthétique,Résumé
Pourrais-tu traduire le texte en quelques mots,Autre
Je voudrais montrer le budget en détail,Valeur
Je voudrais identifier les visuels brièvement,Image
Est-ce que tu peux convertir ce fichier s'il te plaît,Autre
Je voudrais lister les graphiques sans oublier les points clés,Image
Je voudrais donner un aperçu général clairement,Résumé
Donne-moi extraire les figures avec précision,Image
Je souhaite expliquer les résultats sans oublier les points clés,Question
Peux-tu télécharger le document,Autre
Est-ce possible de donner la table des matières s'il te plaît,Structure
J'aimerais bien extraire les points clés sans oublier les points clés,Résumé
Je souhaite récapituler le document en détail,Résumé
Serait-il possible de répondre à la question sur le projet clairement,Question
Je souhaite donner les chiffres importants de façon synthétique,Valeur
Donne-moi me montrer la structure brièvement,Structure
Merci de ouvrir dans word rapidement,Autre
J'aimerais bien expliquer les résultats avec précision,Question
Serait-il possible de indiquer le plan,Structure
J'aimerais bien afficher les valeurs financières en détail,Valeur
Est-ce que tu peux présenter l'organisation clairement,Structure
Merci de traduire le texte brièvement,Autre
Est-ce que tu peux indiquer le plan,Structure
Peux-tu extraire les points clés en quelques mots,Résumé
Je voudrais synthétiser le contenu de façon synthétique,Résumé
Je souhaite expliquer les résultats clairement,Question
Merci de répondre à la question sur le projet rapidement,Question
Est-ce possible de donner la table des matières,Structure
Donne-moi afficher les valeurs financières avec précision,Valeur
J'aimerais bien imprimer le fichier avec précision,Autre
J'aimerais bien lister les sections avec précision,Structure
Est-ce que tu peux afficher les éléments visuels avec précision,Image
Est-ce possible de répondre à la question sur le projet rapidement,Question
Je souhaite télécharger le document de façon synthétique,Autre
Est-ce que tu peux expliquer les résultats clairement,Question
Est-ce possible de fournir les dépenses totales en quelques mots,Valeur
Peux-tu donner les descriptions d'image brièvement,Image
Est-ce possible de extraire les points clés de façon synthétique,Résumé
J'aimerais bien donner la table des matières,Structure
Donne-moi donner un aperçu général en détail,Résumé
Merci de donner les chiffres importants s'il te plaît,Valeur
Peux-tu afficher les éléments visuels avec précision,Image
Je souhaite me donner le chiffre d'affaires en quelques mots,Valeur
Je souhaite donner la date du document brièvement,Question
Serait-il possible de télécharger le document brièvement,Autre
J'aimerais bien imprimer le fichier sans oublier les points clés,Autre
Est-ce que tu peux répondre à la question sur le projet rapidement,Question
Donne-moi afficher les éléments visuels avec précision,Image
Pourrais-tu récapituler le document sans oublier les points clés,Résumé
Merci de lister les graphiques brièvement,Image
J'aimerais bien afficher les éléments visuels brièvement,Image
Pourrais-tu indiquer l'auteur brièvement,Question
Pourrais-tu résumer ce document en quelques mots,Résumé
Merci de partager par mail,Autre
J'aimerais bien fournir les dépenses totales,Valeur
Je voudrais identifier les visuels sans oublier les points clés,Image
Merci de convertir ce fichier rapidement,Autre
J'aimerais bien donner la table des matières sans oublier les points clés,Structure
Est-ce que tu peux expliquer la structure du document sans oublier les points clés,Structure
Est-ce que tu peux donner la table des matières de façon synthétique,Structure
Pourrais-tu donner la table des matières,Structure
Pourrais-tu afficher les éléments visuels de façon synthétique,Image
Pourrais-tu lister les sections de façon synthétique,Structure
Peux-tu synthétiser le contenu s'il te plaît,Résumé
Merci de expliquer la structure du document en quelques mots,Structure
Pourrais-tu afficher les valeurs financières de façon synthétique,Valeur
Est-ce que tu peux me dire l'objectif s'il te plaît,Question
Peux-tu lister les sections en quelques mots,Structure
Est-ce possible de répondre à la question sur le projet sans oublier les points clés,Question
J'aimerais bien me dire l'objectif clairement,Question
Je souhaite donner les chiffres importants en détail,Valeur
Je voudrais expliquer la structure du document clairement,Structure
Je souhaite indiquer le plan sans oublier les points clés,Structure
Je souhaite expliquer les résultats sans oublier les points clés,Question
Peux-tu donner un aperçu général s'il te plaît,Résumé
Peux-tu partager par mail en détail,Autre
Merci de donner les chiffres importants en quelques mots,Valeur
Est-ce possible de me dire qui est le responsable,Question
Serait-il possible de synthétiser le contenu brièvement,Résumé
Est-ce que tu peux synthétiser le contenu sans oublier les points clés,Résumé
Serait-il possible de identifier les visuels clairement,Image
Donne-moi lister les sections avec précision,Structure
Pourrais-tu expliquer les résultats en quelques mots,Question
Peux-tu donner un aperçu général en quelques mots,Résumé
Est-ce possible de indiquer le plan clairement,Structure
Donne-moi me dire l'objectif,Question
Serait-il possible de me faire un résumé brièvement,Résumé
Est-ce que tu peux me montrer la structure clairement,Structure
Serait-il possible de indiquer les montants de façon synthétique,Valeur
Merci de synthétiser le contenu avec précision,Résumé
Serait-il possible de indiquer le plan en détail,Structure
Je souhaite me dire qui est le responsable en détail,Question
Est-ce que tu peux donner les chiffres importants en quelques mots,Valeur
Est-ce possible de donner un aperçu général en détail,Résumé
Est-ce que tu peux afficher les valeurs financières avec précision,Valeur
Je voudrais afficher les éléments visuels rapidement,Image
Serait-il possible de imprimer le fichier,Autre
Donne-moi me faire un résumé en détail,Résumé
Donne-moi me dire l'objectif en détail,Question
Je souhaite convertir ce fichier,Autre
Est-ce que tu peux fournir les dépenses totales de façon synthétique,Valeur
Je souhaite me donner le chiffre d'affaires brièvement,Valeur
Serait-il possible de donner les chiffres importants s'il te plaît,Valeur
Serait-il possible de me montrer les images sans oublier les points clés,Image
